Timestamp,¿Está interesado en las noticias a los siguientes niveles geográficos? Seleccione todos los que se apliquen.,¿Cuáles de estos temas le interesan más? Seleccione hasta cinco.,¿Le interesa alguna de estas historias especiales? Seleccione todos los que se apliquen.,"¿Hay algunas historias específicas que le gustaría ver más frecuentemente en las noticias locales? Por ejemplo, artículos de investigación, perfil de negocios, columnas de opinión, caricaturas, etc.",¿En qué lenguaje prefiere recibir sus noticias? [TV/Video],¿En qué lenguaje prefiere recibir sus noticias? [Radio/Audio/Podcast],¿En qué lenguaje prefiere recibir sus noticias? [Impreso/Texto],¿Cómo recibe sus noticias **más frecuentemente**?,"¿Cuáles fuentes de información específicas usa usted más frecuentemente? Por favor anótelos aquí. Por ejemplo, Hartford Courant, Record Journal, noticiero FOX , CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",¿Como **preferiría** recibir sus noticias?,"¿Cuánto confía en las noticias que vienen de… [Organizaciones de noticias nacionales (como CNN, Univisión)]","¿Cuánto confía en las noticias que vienen de… [Organizaciones de noticias locales (como el Record-Journal, Patch, el Hartford Courant, CT Mirror)]","¿Cuánto confía en las noticias que vienen de… [Medios sociales (como Facebook, Twitter, TikTok, YouTube, Instagram)]",¿Cuánto confía en las noticias que vienen de… [Familiares/amistades/verbalmente],¿Qué tanto está de acuerdo con estas declaraciones? [Confío en las fuentes de noticias que recibo acerca de mi comunidad.],¿Qué tanto está de acuerdo con estas declaraciones? [El noticiero local cubre temas que son importantes para mí.],"¿Qué tanto está de acuerdo con estas declaraciones? [Las noticias locales reflejan mis creencias, valores y costumbres.]",¿En qué pueblo vive?,¿Se identifica como hispano/latino/latinx?,¿En qué país nació?,¿Cuál es su rango de edad?,¿Cuál es su identidad de género?,¿Qué idioma habla en su hogar?,¿Alguno de los siguientes lo describen?,"¿Tiene acceso a una computadora portátil, computadora en su casa o dispositivo con conexión a internet, como un teléfono inteligente o iPad?",¿Tiene acceso a internet en su casa?,¿Está registrado/a para votar?,"Si desea recibir un cupón digital de CTown Supermarket, por completar la encuesta, por favor ingrese su dirección de correo electrónico a continuación. Este cupón es válido para $5 de descuento en compras de $50 o más.","Si usted ingresó su correo electrónico arriba, ¿también le gustaría recibir el boletín electrónico de Record-Journal Latino Lab?",¿Le interesa ser contactado para participar en un grupo focal para que podamos comprender mejor sus respuestas a las preguntas de esta encuesta?,¿Hay algo más que le gustaría dejarnos saber?
2022/04/16 5:10:39 PM EST,Local;Estatal;Regional/Nueva Inglaterra/NYC Metro;Nacional;Internacional,"Deportes;Políticas;Música, arte y cultura;Negocios locales;Educación;Salud;Eventos locales;Viajes y hospitalidad",Temas acerca de participacion comunitaria,Economía local,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,TV,NBC news,Aplicaciones de noticias,Mucho,Mucho,Un poco,Mucho,De acuerdo,De acuerdo,Neutral,Meriden,Prefiero no decir,Puerto Rico,50-59,Mujer,Ambos: inglés y español,Ninguno de estos,Sí,Sí,Sí,REMOVED,Sí,NA,Gracias por su iniciativa en estos asuntos.
2022/04/23 2:20:08 PM EST,Local;Estatal;Nacional;Internacional,"Políticas;Música, arte y cultura;Educación;Salud;Eventos locales;Tecnología",Temas acerca de familias con niños;Temas acerca de los jóvenes;Temas acerca de las personas de la tercera edad;Temas acerca de jóvenes;Temas acerca de participacion comunitaria,Eventos gratuitos para niños y jóvenes. Clases extracurriculares gratuitas para niños y jóvenes en sus diferentes localidades,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Medios sociales,"CNN, Local TV, NBC",TV,Mucho,Mucho,Mucho,Un poco,De acuerdo,De acuerdo,Neutral,Wallingford,Sí,Chile,50-59,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,Sí,NOT PROVIDED,Sí,NA,Sigan trabajando y fomentando la cultura HISPANA
2022/04/28 11:49:27 AM EST,Local;Nacional,Deportes;Políticas;Salud,Temas acerca de las personas de la tercera edad,Más deporte,Ambos: inglés y español,Ambos: inglés y español,Ambos: inglés y español,Radio,Telemundo,TV,Para nada,Mucho,NA,Un poco,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Puerto rico,60-69,Hombre,Español,Ninguno de estos,Sí,Sí,Prefiero no decir,REMOVED,Sí,NA,Buen reportaje
2022/04/28 11:57:38 PM EST,Local,"Música, arte y cultura;Negocios locales;Educación;Eventos locales;Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro);Finanzas y educación financiera;Bienes raíces y propietario de vivienda;Oportunidades de participación comunitaria",Temas acerca de familias con niños;Temas acerca de los jóvenes;Temas acerca de propietarios de pequeñas empresas;Temas acerca de jóvenes;Temas acerca de participacion comunitaria,NA,Español,Español,Español,Medios sociales,Facebook,Aplicaciones de noticias,Un poco,Mucho,Un poco,Mucho,De acuerdo,De acuerdo,De acuerdo,Meriden,Sí,Mexico,40-49,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad;Soy propietario de una empresa pequeña,Sí,Sí,Sí,REMOVED,Sí,NA,NA
2022/04/29 4:27:53 PM EST,Local,"Música, arte y cultura;Bienes raíces y propietario de vivienda;Oportunidades de participación comunitaria",Temas acerca de familias con niños;Temas acerca de participacion comunitaria,Negocios,Inglés,Inglés,Inglés,Medios sociales,Cnn,Medios sociales,Mucho,Mucho,Mucho,Un poco,De acuerdo,De acuerdo,De acuerdo,Wallingford,Sí,Mexico,18-29,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,REMOVED,Sí,NA,NA
2022/04/29 4:32:37 PM EST,Local,"Deportes;Música, arte y cultura;Educación;Salud;Eventos locales;Bienes raíces y propietario de vivienda;Oportunidades de participación comunitaria;Diversidad y justicia social;Asuntos ambientales y cambio de climático;Tecnología;Viajes y hospitalidad",Temas acerca de familias con niños;Temas acerca de los jóvenes;Temas acerca de las personas de la tercera edad;Temas acerca de jóvenes;Temas acerca de participacion comunitaria,NA,Inglés,NA,NA,Radio,NA,TV,Mucho,Mucho,NA,NA,De acuerdo,De acuerdo,De acuerdo,Wallingford,Sí,Republica dominicana,40-49,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,NOT PROVIDED,No,NA,NA
2022/04/29 4:34:10 PM EST,Local;Estatal,"Políticas;Música, arte y cultura;Educación;Salud;Eventos locales;Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro);Finanzas y educación financiera;Bienes raíces y propietario de vivienda;Oportunidades de participación comunitaria",Temas acerca de familias con niños;Temas acerca de los jóvenes;Temas acerca de las personas de la tercera edad;Temas acerca de propietarios de pequeñas empresas;Temas acerca de jóvenes;Temas acerca de participacion comunitaria,NA,Español,Español,Español,Correo electrónico/boletines informativos,NA,Correo electrónico/boletines informativos,Un poco,Un poco,Un poco,Un poco,Neutral,Neutral,Neutral,Wallingford,Sí,Argentina,30-39,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,NOT PROVIDED,NA,NA,NA
2022/04/29 4:35:11 PM EST,Local,"Música, arte y cultura;Negocios locales;Salud;Eventos locales;Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro)",Temas acerca de familias con niños,NA,Español,NA,NA,Medios sociales,NA,Periódicos,Un poco,Un poco,Mucho,Un poco,Neutral,Neutral,Neutral,Wallingford,Sí,Mexico,18-29,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,NOT PROVIDED,Sí,NA,NA
2022/04/29 4:40:05 PM EST,Local,"Educación;Salud;Eventos locales;Recursos comunitarios (por ejemplo: programas de asistencia, recursos de pequeñas empresas, agencias sin fines de lucro);Finanzas y educación financiera",Temas acerca de familias con niños;Temas acerca de participacion comunitaria,Oportunidades laborales,Español,Español,Español,TV,Cnn,Medios sociales,Mucho,NA,Un poco,Un poco,De acuerdo,De acuerdo,De acuerdo,Wallingford,Sí,Honduras,18-29,Mujer,Español,Soy padre/madre de un niño menor de 18 años de edad,No,Sí,No,NOT PROVIDED,NA,NA,NA
2022/04/29 4:45:58 PM EST,Local,"Música, arte y cultura;Bienes raíces y propietario de vivienda",Temas acerca de los jóvenes,Perfil de negocio,NA,NA,Español,Textos,Cnn,Textos,Mucho,NA,Un poco,NA,Neutral,De acuerdo,NA,Wallingford,Sí,Mexico,40-49,Mujer,Ambos: inglés y español,Soy padre/madre de un niño menor de 18 años de edad,Sí,Sí,No,NOT PROVIDED,NA,NA,NA
